,Type,Country,Fatal,Lustro
0,Unprovoked,USA,N,2011-2016
1,Unprovoked,USA,N,2011-2016
2,Unprovoked,USA,N,2011-2016
3,Unprovoked,AUSTRALIA,N,2011-2016
4,Unprovoked,AUSTRALIA,N,2011-2016
5,Provoked,AUSTRALIA,N,2011-2016
6,Unprovoked,USA,N,2011-2016
7,Unprovoked,USA,N,2011-2016
9,Unprovoked,USA,N,2011-2016
10,Unprovoked,AUSTRALIA,N,2011-2016
11,Unprovoked,USA,N,2011-2016
12,Unprovoked,USA,N,2011-2016
13,Unprovoked,USA,N,2011-2016
14,Unprovoked,USA,N,2011-2016
16,Unprovoked,USA,N,2011-2016
18,Unprovoked,USA,N,2011-2016
19,Unprovoked,USA,N,2011-2016
22,Provoked,AUSTRALIA,N,2011-2016
23,Provoked,USA,N,2011-2016
24,Unprovoked,AUSTRALIA,N,2011-2016
26,Unprovoked,AUSTRALIA,N,2011-2016
28,Provoked,AUSTRALIA,N,2011-2016
29,Provoked,USA,N,2011-2016
30,Unprovoked,USA,N,2011-2016
31,Unprovoked,USA,N,2011-2016
32,Unprovoked,USA,N,2011-2016
35,Provoked,USA,N,2011-2016
36,Provoked,USA,N,2011-2016
37,Provoked,USA,N,2011-2016
38,Unprovoked,USA,N,2011-2016
39,Provoked,AUSTRALIA,N,2011-2016
40,Unprovoked,USA,N,2011-2016
41,Unprovoked,USA,N,2011-2016
43,Unprovoked,SOUTH AFRICA,N,2011-2016
44,Unprovoked,USA,N,2011-2016
45,Unprovoked,USA,N,2011-2016
46,Unprovoked,USA,N,2011-2016
47,Provoked,AUSTRALIA,N,2011-2016
48,Unprovoked,USA,N,2011-2016
49,Unprovoked,USA,N,2011-2016
51,Unprovoked,USA,N,2011-2016
52,Unprovoked,AUSTRALIA,Y,2011-2016
56,Unprovoked,AUSTRALIA,Y,2011-2016
57,Unprovoked,USA,N,2011-2016
58,Unprovoked,USA,N,2011-2016
59,Unprovoked,USA,N,2011-2016
60,Unprovoked,USA,N,2011-2016
61,Unprovoked,USA,N,2011-2016
62,Unprovoked,USA,N,2011-2016
63,Provoked,USA,N,2011-2016
64,Unprovoked,USA,N,2011-2016
67,Unprovoked,USA,N,2011-2016
68,Unprovoked,SOUTH AFRICA,N,2011-2016
69,Unprovoked,AUSTRALIA,N,2011-2016
71,Unprovoked,USA,N,2011-2016
74,Unprovoked,USA,N,2011-2016
76,Unprovoked,USA,N,2011-2016
77,Unprovoked,AUSTRALIA,N,2011-2016
79,Unprovoked,AUSTRALIA,N,2011-2016
82,Unprovoked,USA,N,2011-2016
84,Unprovoked,USA,N,2011-2016
85,Unprovoked,AUSTRALIA,N,2011-2016
86,Unprovoked,BRAZIL,N,2011-2016
92,Unprovoked,AUSTRALIA,N,2011-2016
93,Unprovoked,AUSTRALIA,N,2011-2016
94,Provoked,SOUTH AFRICA,N,2011-2016
95,Unprovoked,USA,N,2011-2016
96,Unprovoked,USA,N,2011-2016
97,Unprovoked,USA,N,2011-2016
99,Unprovoked,USA,N,2011-2016
100,Unprovoked,AUSTRALIA,N,2011-2016
101,Unprovoked,AUSTRALIA,N,2011-2016
102,Unprovoked,AUSTRALIA,N,2011-2016
103,Provoked,SOUTH AFRICA,N,2011-2016
105,Unprovoked,USA,N,2011-2016
106,Unprovoked,AUSTRALIA,N,2011-2016
107,Unprovoked,BRAZIL,N,2011-2016
109,Provoked,AUSTRALIA,N,2011-2016
111,Unprovoked,SOUTH AFRICA,N,2011-2016
112,Unprovoked,USA,N,2011-2016
113,Unprovoked,USA,N,2011-2016
114,Unprovoked,USA,N,2011-2016
115,Unprovoked,AUSTRALIA,N,2011-2016
117,Unprovoked,USA,N,2011-2016
118,Unprovoked,USA,N,2011-2016
120,Unprovoked,AUSTRALIA,N,2011-2016
121,Unprovoked,USA,N,2011-2016
122,Unprovoked,SOUTH AFRICA,N,2011-2016
123,Unprovoked,USA,N,2011-2016
124,Unprovoked,USA,N,2011-2016
127,Unprovoked,USA,N,2011-2016
128,Provoked,USA,N,2011-2016
129,Unprovoked,USA,N,2011-2016
130,Unprovoked,USA,N,2011-2016
132,Unprovoked,AUSTRALIA,N,2011-2016
133,Unprovoked,USA,N,2011-2016
134,Unprovoked,USA,N,2011-2016
135,Unprovoked,USA,N,2011-2016
136,Unprovoked,USA,N,2011-2016
